global_step,phase,eta,accuracy,loss,recurrent_rate_hz,current_time_ms,run_duration_ms
87,train,2e-07,0.625,0.021650730612256076,27.14771764640531,2088261.0,24003.0
88,train,2e-07,0.625,0.020886083758792563,27.684594981182908,2112264.0,24003.0
89,train,2e-07,0.6875,0.020356401629005226,26.10562568567818,2136267.0,24003.0
90,train,2e-07,0.75,0.021323268636611915,26.043966726381424,2160270.0,24003.0
91,train,2e-07,0.75,0.02089658152247238,26.155619436459332,2184273.0,24003.0
92,train,2e-07,0.8125,0.021051139507630753,26.825257953866878,2208276.0,24003.0
93,train,2e-07,0.8125,0.020432542575546213,27.262981016261854,2232279.0,24003.0
94,train,2e-07,0.625,0.02092998229238528,27.40907386576678,2256282.0,24003.0
95,train,2e-07,0.8125,0.019917433168905145,26.785540696301847,2280285.0,24003.0
96,train,2e-07,0.6875,0.020690908380312043,26.820258578788764,2304288.0,24003.0
97,train,2e-07,0.8125,0.020532044271206994,27.182157785832327,2328291.0,24003.0
98,train,2e-07,0.75,0.02024471239774137,26.508075379466455,2352294.0,24003.0
99,train,2e-07,0.6875,0.020866374122014326,28.442000305517368,2376297.0,24003.0
100,train,2e-07,0.625,0.020508962856894068,27.95456123540113,2400300.0,24003.0
101,train,2e-07,0.875,0.019922739419979473,27.241317057590024,2424303.0,24003.0
102,train,2e-07,0.8125,0.02013976180354562,27.028010387590438,2448306.0,24003.0
103,train,2e-07,0.5625,0.02161109813521188,24.259745309614075,2472309.0,24003.0
104,train,2e-07,0.6875,0.021499941803096084,26.072574261550642,2496312.0,24003.0
105,train,2e-07,0.625,0.02040131227418828,25.381549528531156,2520315.0,24003.0
106,train,2e-07,0.8125,0.018991341325005455,27.095501951144996,2544318.0,24003.0
107,train,2e-07,0.8125,0.020143289459686263,26.204502215000904,2568321.0,24003.0
108,train,2e-07,0.875,0.01956527194839003,27.437125914816207,2592324.0,24003.0
109,train,2e-07,0.75,0.02071142608464518,26.21533419433682,2616327.0,24003.0
110,train,2e-07,0.6875,0.020379368030177085,25.660403560666026,2640330.0,24003.0
111,train,2e-07,0.75,0.02028439945524254,27.226318932355678,2664333.0,24003.0
112,train,2e-07,0.6875,0.02036508204119067,27.452957269230236,2688336.0,24003.0
113,train,2e-07,0.8125,0.020434895658543208,27.81069033037537,2712339.0,24003.0
114,train,2e-07,0.875,0.020175064846237507,26.593620241914206,2736342.0,24003.0
115,train,2e-07,0.8125,0.019494244705818512,25.562915746642783,2760345.0,24003.0
116,train,2e-07,0.625,0.02018517146351675,26.388368120651585,2784348.0,24003.0
117,train,2e-07,0.625,0.020144691926419857,26.398366870807816,2808351.0,24003.0
118,train,2e-07,0.75,0.019957928843718005,25.37127303531503,2832354.0,24003.0
119,train,2e-07,0.75,0.019656823455766387,26.511130553125305,2856357.0,24003.0
120,train,2e-07,0.75,0.01896690654243098,27.695426960518823,2880360.0,24003.0
121,train,2e-07,0.875,0.019286238328419816,25.437653626630006,2904363.0,24003.0
122,train,2e-07,0.9375,0.02034074491571687,27.131608548931382,2928366.0,24003.0
123,train,2e-07,0.8125,0.019091526243944917,28.035662208890557,2952369.0,24003.0
124,train,2e-07,0.75,0.01966447372171006,25.806496410170947,2976372.0,24003.0
125,train,2e-07,0.875,0.01949006128814938,29.165798719604496,3000375.0,24003.0
126,train,2e-07,0.75,0.02028973118701216,26.16117429765724,3024378.0,24003.0
127,train,2e-07,0.8125,0.01970604952717346,25.343776472385397,3048381.0,24003.0
128,train,2e-07,0.6875,0.02010534176366725,25.556805399325086,3072384.0,24003.0
129,train,2e-07,0.9375,0.01875759302389922,27.55822188893055,3096387.0,24003.0
130,train,2e-07,0.625,0.0199753514075344,25.15130053187796,3120390.0,24003.0
131,train,2e-07,0.8125,0.019480985181794988,25.18324098376592,3144393.0,24003.0
132,train,2e-07,0.5625,0.02061357051614983,24.805232679248427,3168396.0,24003.0
133,train,2e-07,0.6875,0.02053087545487463,24.129206071463287,3192399.0,24003.0
134,train,2e-07,0.75,0.020718950641585302,24.75579441458707,3216402.0,24003.0
135,train,2e-07,0.875,0.01948774158574776,26.538904859114833,3240405.0,24003.0
136,train,2e-07,0.8125,0.0194050000119239,26.819703092668973,3264408.0,24003.0
137,train,2e-07,0.8125,0.019815035318690048,25.958421863933676,3288411.0,24003.0
138,train,2e-07,0.8125,0.02059884903146926,25.286839145106864,3312414.0,24003.0
139,train,2e-07,0.8125,0.019348771748429916,26.86803038509075,3336417.0,24003.0
140,train,2e-07,0.75,0.020395102058026103,26.363371245261007,3360420.0,24003.0
141,train,2e-07,0.875,0.018446108358167033,26.443638989570747,3384423.0,24003.0
142,train,2e-07,0.8125,0.01910121300890378,27.07578219389243,3408426.0,24003.0
143,train,2e-07,0.75,0.018515880827146884,26.776930661445096,3432429.0,24003.0
144,train,2e-07,0.9375,0.019083368655078398,25.21073754669555,3456432.0,24003.0
145,train,2e-07,0.75,0.01983254522077375,25.471816022997125,3480435.0,24003.0
146,train,2e-07,0.875,0.018371344430975392,26.52473996306017,3504438.0,24003.0
147,train,2e-07,0.625,0.020149223965746893,25.199350081239846,3528441.0,24003.0
148,train,2e-07,0.875,0.01908888973800881,24.93966032023775,3552444.0,24003.0
149,train,2e-07,0.875,0.01898071112556708,26.803038509075254,3576447.0,24003.0
150,train_eval,0.0,0.875,0.018908443193485003,25.584024219194824,3600450.0,24003.0
151,train_eval,0.0,0.8125,0.02060685646590321,25.45515143940341,3624453.0,24003.0
152,train_eval,0.0,0.75,0.018565077411452913,25.808718354650114,3648456.0,24003.0
153,train_eval,0.0,0.8125,0.019828544779960666,24.949659070393977,3672459.0,24003.0
154,train_eval,0.0,0.75,0.019953300482480223,25.552083767306865,3696462.0,24003.0
155,train_eval,0.0,0.8125,0.018213839336635083,26.89663792025997,3720465.0,24003.0
156,val,0.0,0.6875,0.020320839044692725,26.73443597328112,3744468.0,24003.0
157,val,0.0,0.75,0.01968189410460197,27.803191267758198,3768471.0,24003.0
158,val,0.0,0.625,0.020584800633332512,26.38281325945368,3792474.0,24003.0
159,val,0.0,0.625,0.020627910744482624,25.067699870849477,3816477.0,24003.0
160,val,0.0,0.5625,0.020397191913639555,24.94327098001639,3840480.0,24003.0
161,val,0.0,0.5625,0.021138828817549107,26.183671485508757,3864483.0,24003.0
